"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"12","E1798FF8","GO301_24_2849","Atlantic Terminal","2849","1","76789C63W","1"
"12","E1798FF8","GO301_24_2850","Jamaica","2850","0","76789C63","0"
"12","E1798FF8","GO301_24_2851","Atlantic Terminal","2851","1","76789C63W","1"
"12","E1798FF8","GO301_24_2854","Jamaica","2854","0","76789C63","0"
"12","E1798FF8","GO301_24_2856","Jamaica","2856","0","76789C63","0"
"12","E1798FF8","GO301_24_2858","Jamaica","2858","0","76789C63","0"
"12","E1798FF8","GO301_24_2860","Jamaica","2860","0","76789C63","0"
"12","E1798FF8","GO301_24_2861","Atlantic Terminal","2861","1","76789C63W","1"
"12","E1798FF8","GO301_24_2863","Atlantic Terminal","2863","1","76789C63W","1"
"12","E1798FF8","GO301_24_2864","Jamaica","2864","0","76789C63","0"
"12","E1798FF8","GO301_24_2865","Atlantic Terminal","2865","1","76789C63W","1"
"12","E1798FF8","GO301_24_2866","Jamaica","2866","0","76789C63","0"
"12","E1798FF8","GO301_24_2868","Jamaica","2868","0","76789C63","0"
"12","E1798FF8","GO301_24_2869","Atlantic Terminal","2869","1","76789C63W","1"
"12","E1798FF8","GO301_24_2871","Atlantic Terminal","2871","1","76789C63W","1"
"12","E1798FF8","GO301_24_2875","Atlantic Terminal","2875","1","76789C63W","1"
"12","E1798FF8","GO301_24_2876","Jamaica","2876","0","76789C63","0"
"12","E1798FF8","GO301_24_2879","Atlantic Terminal","2879","1","76789C63W","0"
"12","E1798FF8","GO301_24_2882","Jamaica","2882","0","76789C63","0"
"12","E1798FF8","GO301_24_2883","Atlantic Terminal","2883","1","76789C63W","0"
"12","E1798FF8","GO301_24_2884","Jamaica","2884","0","76789C63","0"
"12","E1798FF8","GO301_24_2890","Jamaica","2890","0","76789C63","0"
"12","E1798FF8","GO301_24_2891","Atlantic Terminal","2891","1","76789C63W","0"
"12","E1798FF8","GO301_24_2892","Jamaica","2892","0","76789C63","0"
"12","E1798FF8","GO301_24_2895","Atlantic Terminal","2895","1","76789C63W","0"
"12","E1798FF8","GO301_24_2898","Jamaica","2898","0","76789C63","0"
"12","E1798FF8","GO301_24_2899","Atlantic Terminal","2899","1","76789C63W","0"
"12","E1798FF8","GO301_24_2900","Jamaica","2900","0","76789C63","0"
"12","E1798FF8","GO301_24_2901","Atlantic Terminal","2901","1","76789C63W","0"
